"segment","country","acquisition_channel","cohort_month","total_players","churned_players","active_players","churn_rate_pct","avg_days_before_churn"
"Dormant","Australia","Affiliate","2023-01-01","7","7","0","100.00","52.4"
"Dormant","Australia","Email","2023-01-01","5","5","0","100.00","103.0"
"Dormant","Australia","Organic","2023-01-01","5","5","0","100.00","46.0"
"Dormant","Australia","Paid Search","2023-01-01","1","1","0","100.00","83.0"
"Dormant","Australia","Referral","2023-01-01","1","1","0","100.00","146.0"
"Dormant","Australia","Social","2023-01-01","1","1","0","100.00","85.0"
"Dormant","Austria","Affiliate","2023-01-01","11","11","0","100.00","83.6"
"Dormant","Austria","Email","2023-01-01","3","3","0","100.00","67.0"
"Dormant","Austria","Organic","2023-01-01","5","5","0","100.00","140.2"
"Dormant","Austria","Paid Search","2023-01-01","4","4","0","100.00","100.8"
"Dormant","Austria","Social","2023-01-01","4","4","0","100.00","85.5"
"Dormant","Canada","Affiliate","2023-01-01","7","7","0","100.00","96.7"
"Dormant","Canada","Email","2023-01-01","5","5","0","100.00","75.4"
"Dormant","Canada","Organic","2023-01-01","9","9","0","100.00","89.9"
"Dormant","Canada","Paid Search","2023-01-01","10","10","0","100.00","96.2"
"Dormant","Canada","Referral","2023-01-01","1","1","0","100.00","58.0"
"Dormant","Canada","Social","2023-01-01","9","9","0","100.00","76.9"
"Dormant","Finland","Affiliate","2023-01-01","10","10","0","100.00","92.0"
"Dormant","Finland","Email","2023-01-01","2","2","0","100.00","96.5"
"Dormant","Finland","Organic","2023-01-01","4","4","0","100.00","51.0"
"Dormant","Finland","Paid Search","2023-01-01","7","7","0","100.00","73.7"
"Dormant","Finland","Referral","2023-01-01","3","3","0","100.00","73.0"
"Dormant","Finland","Social","2023-01-01","1","1","0","100.00","149.0"
"Dormant","Germany","Affiliate","2023-01-01","12","12","0","100.00","85.6"
"Dormant","Germany","Email","2023-01-01","10","10","0","100.00","67.4"
"Dormant","Germany","Organic","2023-01-01","14","14","0","100.00","81.9"
"Dormant","Germany","Paid Search","2023-01-01","11","11","0","100.00","62.8"
"Dormant","Germany","Referral","2023-01-01","5","5","0","100.00","111.6"
"Dormant","Germany","Social","2023-01-01","12","12","0","100.00","100.5"
"Dormant","Ireland","Affiliate","2023-01-01","8","8","0","100.00","73.5"
"Dormant","Ireland","Email","2023-01-01","5","5","0","100.00","127.0"
"Dormant","Ireland","Organic","2023-01-01","2","2","0","100.00","95.5"
"Dormant","Ireland","Paid Search","2023-01-01","5","5","0","100.00","88.0"
"Dormant","Ireland","Referral","2023-01-01","1","1","0","100.00","136.0"
"Dormant","Ireland","Social","2023-01-01","2","2","0","100.00","82.5"
"Dormant","Malta","Affiliate","2023-01-01","8","8","0","100.00","76.6"
"Dormant","Malta","Email","2023-01-01","1","1","0","100.00","106.0"
"Dormant","Malta","Organic","2023-01-01","3","3","0","100.00","89.3"
"Dormant","Malta","Paid Search","2023-01-01","2","2","0","100.00","76.5"
"Dormant","Malta","Referral","2023-01-01","2","2","0","100.00","65.5"
"Dormant","Malta","Social","2023-01-01","2","2","0","100.00","84.0"
"Dormant","Netherlands","Affiliate","2023-01-01","2","2","0","100.00","90.0"
"Dormant","Netherlands","Email","2023-01-01","3","3","0","100.00","69.0"
"Dormant","Netherlands","Organic","2023-01-01","2","2","0","100.00","78.5"
"Dormant","Netherlands","Paid Search","2023-01-01","4","4","0","100.00","61.0"
"Dormant","New Zealand","Affiliate","2023-01-01","3","3","0","100.00","63.7"
"Dormant","New Zealand","Email","2023-01-01","1","1","0","100.00","117.0"
"Dormant","New Zealand","Organic","2023-01-01","7","7","0","100.00","77.3"
"Dormant","New Zealand","Paid Search","2023-01-01","4","4","0","100.00","111.3"
"Dormant","New Zealand","Referral","2023-01-01","1","1","0","100.00","46.0"
"Dormant","Norway","Affiliate","2023-01-01","7","7","0","100.00","99.6"
"Dormant","Norway","Email","2023-01-01","2","2","0","100.00","258.5"
"Dormant","Norway","Organic","2023-01-01","7","7","0","100.00","90.1"
"Dormant","Norway","Paid Search","2023-01-01","5","5","0","100.00","73.2"
"Dormant","Norway","Social","2023-01-01","1","1","0","100.00","113.0"
"Dormant","Sweden","Affiliate","2023-01-01","6","6","0","100.00","62.0"
"Dormant","Sweden","Email","2023-01-01","6","6","0","100.00","91.0"
"Dormant","Sweden","Organic","2023-01-01","8","8","0","100.00","101.5"
"Dormant","Sweden","Paid Search","2023-01-01","5","5","0","100.00","57.4"
"Dormant","Sweden","Referral","2023-01-01","1","1","0","100.00","145.0"
"Dormant","Sweden","Social","2023-01-01","5","5","0","100.00","69.6"
"Dormant","UK","Affiliate","2023-01-01","16","16","0","100.00","95.7"
"Dormant","UK","Email","2023-01-01","6","6","0","100.00","103.5"
"Dormant","UK","Organic","2023-01-01","10","10","0","100.00","94.7"
"Dormant","UK","Paid Search","2023-01-01","12","12","0","100.00","91.6"
"Dormant","UK","Referral","2023-01-01","3","3","0","100.00","98.3"
"Dormant","UK","Social","2023-01-01","3","3","0","100.00","83.3"
"High","Australia","Affiliate","2023-01-01","8","5","3","62.50","389.4"
"High","Australia","Email","2023-01-01","5","2","3","40.00","252.5"
"High","Australia","Organic","2023-01-01","8","4","4","50.00","252.5"
"High","Australia","Paid Search","2023-01-01","6","4","2","66.67","208.3"
"High","Australia","Referral","2023-01-01","2","1","1","50.00","32.0"
"High","Australia","Social","2023-01-01","1","0","1","0.00",NULL
"High","Austria","Affiliate","2023-01-01","3","1","2","33.33","166.0"
"High","Austria","Email","2023-01-01","4","3","1","75.00","221.7"
"High","Austria","Organic","2023-01-01","5","4","1","80.00","166.3"
"High","Austria","Paid Search","2023-01-01","3","3","0","100.00","127.3"
"High","Austria","Referral","2023-01-01","2","2","0","100.00","603.0"
"High","Austria","Social","2023-01-01","3","1","2","33.33","74.0"
"High","Canada","Affiliate","2023-01-01","6","5","1","83.33","298.6"
"High","Canada","Email","2023-01-01","5","4","1","80.00","348.8"
"High","Canada","Organic","2023-01-01","8","7","1","87.50","332.0"
"High","Canada","Paid Search","2023-01-01","5","5","0","100.00","386.8"
"High","Canada","Referral","2023-01-01","3","3","0","100.00","371.7"
"High","Finland","Affiliate","2023-01-01","10","8","2","80.00","298.5"
"High","Finland","Email","2023-01-01","3","3","0","100.00","224.0"
"High","Finland","Organic","2023-01-01","5","5","0","100.00","268.8"
"High","Finland","Paid Search","2023-01-01","7","5","2","71.43","264.8"
"High","Finland","Referral","2023-01-01","3","2","1","66.67","295.5"
"High","Finland","Social","2023-01-01","2","1","1","50.00","191.0"
"High","Germany","Affiliate","2023-01-01","14","12","2","85.71","193.8"
"High","Germany","Email","2023-01-01","12","10","2","83.33","331.9"
"High","Germany","Organic","2023-01-01","10","5","5","50.00","250.4"
"High","Germany","Paid Search","2023-01-01","11","9","2","81.82","381.1"
"High","Germany","Social","2023-01-01","5","4","1","80.00","415.5"
"High","Ireland","Affiliate","2023-01-01","5","3","2","60.00","348.0"
"High","Ireland","Email","2023-01-01","2","2","0","100.00","270.0"
"High","Ireland","Organic","2023-01-01","2","1","1","50.00","70.0"
"High","Ireland","Paid Search","2023-01-01","6","5","1","83.33","255.4"
"High","Ireland","Referral","2023-01-01","2","1","1","50.00","124.0"
"High","Malta","Affiliate","2023-01-01","7","5","2","71.43","204.6"
"High","Malta","Email","2023-01-01","1","1","0","100.00","46.0"
"High","Malta","Organic","2023-01-01","3","2","1","66.67","398.5"
"High","Malta","Paid Search","2023-01-01","6","5","1","83.33","374.6"
"High","Malta","Referral","2023-01-01","2","2","0","100.00","619.5"
"High","Malta","Social","2023-01-01","3","3","0","100.00","309.7"
"High","Netherlands","Affiliate","2023-01-01","3","3","0","100.00","491.0"
"High","Netherlands","Email","2023-01-01","5","4","1","80.00","151.0"
"High","Netherlands","Organic","2023-01-01","1","1","0","100.00","146.0"
"High","Netherlands","Paid Search","2023-01-01","10","9","1","90.00","418.0"
"High","Netherlands","Referral","2023-01-01","1","1","0","100.00","583.0"
"High","Netherlands","Social","2023-01-01","1","1","0","100.00","63.0"
"High","New Zealand","Affiliate","2023-01-01","5","5","0","100.00","474.2"
"High","New Zealand","Email","2023-01-01","3","0","3","0.00",NULL
"High","New Zealand","Organic","2023-01-01","2","1","1","50.00","135.0"
"High","New Zealand","Social","2023-01-01","2","1","1","50.00","309.0"
"High","Norway","Affiliate","2023-01-01","7","7","0","100.00","309.9"
"High","Norway","Email","2023-01-01","3","3","0","100.00","379.0"
"High","Norway","Organic","2023-01-01","6","5","1","83.33","183.6"
"High","Norway","Paid Search","2023-01-01","11","10","1","90.91","298.5"
"High","Norway","Referral","2023-01-01","4","2","2","50.00","210.0"
"High","Norway","Social","2023-01-01","1","1","0","100.00","724.0"
"High","Sweden","Affiliate","2023-01-01","8","8","0","100.00","200.8"
"High","Sweden","Email","2023-01-01","3","2","1","66.67","214.5"
"High","Sweden","Organic","2023-01-01","5","4","1","80.00","272.8"
"High","Sweden","Paid Search","2023-01-01","8","7","1","87.50","198.7"
"High","Sweden","Referral","2023-01-01","3","2","1","66.67","328.0"
"High","Sweden","Social","2023-01-01","1","0","1","0.00",NULL
"High","UK","Affiliate","2023-01-01","17","14","3","82.35","253.7"
"High","UK","Email","2023-01-01","4","2","2","50.00","162.0"
"High","UK","Organic","2023-01-01","15","14","1","93.33","285.7"
"High","UK","Paid Search","2023-01-01","9","8","1","88.89","279.1"
"High","UK","Referral","2023-01-01","1","0","1","0.00",NULL
"High","UK","Social","2023-01-01","4","4","0","100.00","267.8"
"Low","Australia","Affiliate","2023-01-01","9","9","0","100.00","116.2"
"Low","Australia","Email","2023-01-01","7","7","0","100.00","168.7"
"Low","Australia","Organic","2023-01-01","11","10","1","90.91","167.8"
"Low","Australia","Paid Search","2023-01-01","12","12","0","100.00","151.4"
"Low","Australia","Referral","2023-01-01","3","3","0","100.00","58.0"
"Low","Australia","Social","2023-01-01","5","5","0","100.00","242.6"
"Low","Austria","Affiliate","2023-01-01","14","14","0","100.00","116.4"
"Low","Austria","Email","2023-01-01","7","7","0","100.00","244.3"
"Low","Austria","Organic","2023-01-01","5","5","0","100.00","204.2"
"Low","Austria","Paid Search","2023-01-01","7","7","0","100.00","191.9"
"Low","Austria","Referral","2023-01-01","7","7","0","100.00","86.7"
"Low","Austria","Social","2023-01-01","8","7","1","87.50","183.4"
"Low","Canada","Affiliate","2023-01-01","18","18","0","100.00","130.1"
"Low","Canada","Email","2023-01-01","7","7","0","100.00","168.1"
"Low","Canada","Organic","2023-01-01","11","10","1","90.91","136.7"
"Low","Canada","Paid Search","2023-01-01","15","15","0","100.00","184.8"
"Low","Canada","Referral","2023-01-01","4","4","0","100.00","166.0"
"Low","Canada","Social","2023-01-01","4","4","0","100.00","131.3"
"Low","Finland","Affiliate","2023-01-01","15","15","0","100.00","125.7"
"Low","Finland","Email","2023-01-01","5","5","0","100.00","151.0"
"Low","Finland","Organic","2023-01-01","15","15","0","100.00","144.5"
"Low","Finland","Paid Search","2023-01-01","7","7","0","100.00","81.0"
"Low","Finland","Referral","2023-01-01","4","3","1","75.00","94.7"
"Low","Finland","Social","2023-01-01","8","8","0","100.00","138.6"
"Low","Germany","Affiliate","2023-01-01","29","28","1","96.55","172.5"
"Low","Germany","Email","2023-01-01","6","6","0","100.00","159.7"
"Low","Germany","Organic","2023-01-01","29","29","0","100.00","194.1"
"Low","Germany","Paid Search","2023-01-01","30","30","0","100.00","179.3"
"Low","Germany","Referral","2023-01-01","9","9","0","100.00","173.3"
"Low","Germany","Social","2023-01-01","8","8","0","100.00","175.8"
"Low","Ireland","Affiliate","2023-01-01","17","16","1","94.12","118.4"
"Low","Ireland","Email","2023-01-01","5","5","0","100.00","158.4"
"Low","Ireland","Organic","2023-01-01","7","7","0","100.00","58.6"
"Low","Ireland","Paid Search","2023-01-01","11","11","0","100.00","138.0"
"Low","Ireland","Referral","2023-01-01","1","1","0","100.00","175.0"
"Low","Ireland","Social","2023-01-01","7","7","0","100.00","166.7"
"Low","Malta","Affiliate","2023-01-01","4","4","0","100.00","211.5"
"Low","Malta","Email","2023-01-01","3","3","0","100.00","95.7"
"Low","Malta","Organic","2023-01-01","7","7","0","100.00","123.1"
"Low","Malta","Paid Search","2023-01-01","12","12","0","100.00","121.8"
"Low","Malta","Referral","2023-01-01","2","2","0","100.00","91.0"
"Low","Malta","Social","2023-01-01","4","4","0","100.00","203.8"
"Low","Netherlands","Affiliate","2023-01-01","10","9","1","90.00","338.6"
"Low","Netherlands","Email","2023-01-01","3","3","0","100.00","131.7"
"Low","Netherlands","Organic","2023-01-01","10","10","0","100.00","237.7"
"Low","Netherlands","Paid Search","2023-01-01","3","3","0","100.00","117.7"
"Low","Netherlands","Referral","2023-01-01","2","2","0","100.00","305.0"
"Low","Netherlands","Social","2023-01-01","3","3","0","100.00","72.3"
"Low","New Zealand","Affiliate","2023-01-01","11","11","0","100.00","257.3"
"Low","New Zealand","Email","2023-01-01","5","5","0","100.00","188.8"
"Low","New Zealand","Organic","2023-01-01","1","1","0","100.00","91.0"
"Low","New Zealand","Paid Search","2023-01-01","11","11","0","100.00","159.5"
"Low","New Zealand","Referral","2023-01-01","2","1","1","50.00","473.0"
"Low","New Zealand","Social","2023-01-01","6","6","0","100.00","187.5"
"Low","Norway","Affiliate","2023-01-01","12","12","0","100.00","222.3"
"Low","Norway","Email","2023-01-01","7","7","0","100.00","138.1"
